标准化机构名称,机构类型,分类依据,关联文献数,涉及阶段数,是否Top100,TOPSIS综合排名,TOPSIS综合得分,机构层级
延长石油股份有限公司子北采油厂,企业研发中心,企业关键词:公司,2,1,0,,,
延长石油股份有限公司杏子川采油厂,企业研发中心,企业关键词:公司,1,1,0,,,
延长石油股份有限公司英旺采油厂,企业研发中心,企业关键词:公司,1,1,0,,,
延长石油股份有限公司西区采油厂,企业研发中心,企业关键词:公司,1,1,0,,,
延长石油股份有限公司靖边采油厂,企业研发中心,企业关键词:公司,2,1,0,,,
延长石油钻井工程有限公司,企业研发中心,企业关键词:公司,1,1,0,,,
延长石油集团,企业研发中心,企业关键词:集团,1,1,0,,,
延长石油集团井下作业工程公司测井解释中心,企业研发中心,企业关键词:公司,1,1,0,,,
延长石油集团公司,企业研发中心,企业关键词:公司,2,1,0,,,
延长石油集团公司延安炼油厂,企业研发中心,企业关键词:公司,1,1,0,,,
延长石油集团公司油气勘探公司,企业研发中心,企业关键词:公司,1,1,0,,,
延长石油集团国际勘探开发工程有限公司,企业研发中心,企业关键词:公司,1,1,0,,,
延长石油集团延安炼油厂,企业研发中心,企业关键词:集团,2,1,0,,,
延长石油集团延安石油化工厂,企业研发中心,企业关键词:集团,1,1,0,,,
延长石油集团有限责任公司,企业研发中心,企业关键词:公司,4,1,0,,,
延长石油集团有限责任公司横山采油厂,企业研发中心,企业关键词:公司,1,1,0,,,
延长石油集团有限责任公司研究院,企业研发中心,企业关键词:公司,1,1,0,,,
延长石油集团油气勘探公司,企业研发中心,企业关键词:公司,5,1,0,,,
延长石油集团油气勘探公司勘探开发部,企业研发中心,企业关键词:公司,1,1,0,,,
延长石油集团油气勘探公司天然气勘探开发部,企业研发中心,企业关键词:公司,3,1,0,,,
延长石油集团油气勘探公司天然气勘探开发部地质科,企业研发中心,企业关键词:公司,1,1,0,,,
延长石油集团油气勘探公司天然气勘探开发部采气站,企业研发中心,企业关键词:公司,1,1,0,,,
延长石油集团油气勘探公司石油勘探开发部,企业研发中心,企业关键词:公司,2,1,0,,,
延长石油集团油田公司蟠龙采油厂,企业研发中心,企业关键词:公司,1,1,0,,,
延长石油集团油田股份有限公司吴起采油厂,企业研发中心,企业关键词:公司,2,1,0,,,
延长石油集团炼化公司,企业研发中心,企业关键词:公司,1,1,0,,,
延长石油集团炼化公司项目建设指挥部,企业研发中心,企业关键词:公司,1,1,0,,,
延长石油集团直罗采油厂,企业研发中心,企业关键词:集团,1,1,0,,,
延长石油集团研究院,企业研发中心,企业关键词:集团,7,1,0,,,
延长石油集团碳氢技术研究中心,企业研发中心,企业关键词:集团,1,1,0,,,
延长石油集团股份有限公司南泥湾采油厂,企业研发中心,企业关键词:公司,1,1,0,,,
延长石油集团股份有限公司永坪炼油厂,企业研发中心,企业关键词:公司,1,1,0,,,
延长石油集团股份有限公司瓦窑堡采油厂,企业研发中心,企业关键词:公司,1,1,0,,,
延长石油青平川油田地质监督,企业研发中心,企业关键词:油田,1,1,0,,,
延长股份有限公司青平川采油厂,企业研发中心,企业关键词:公司,1,1,0,,,
建国大学(韩国),高校/科研院所,高校强特征:大学,30,3,0,,,
开普敦大学,高校/科研院所,高校强特征:大学,10,2,0,,,
开滦煤化工研发中心,其他,未命中规则,1,1,0,,,
开罗大学,高校/科研院所,高校强特征:大学,76,3,0,,,
开罗美国大学,高校/科研院所,高校强特征:大学,16,2,0,,,
弗吉尼亚大学,高校/科研院所,高校强特征:大学,17,3,0,,,
弗吉尼亚理工大学,高校/科研院所,高校强特征:大学,78,3,0,,,
弗吉尼亚联邦大学,高校/科研院所,高校强特征:大学,12,3,0,,,
弗拉芒技术研究院,高校/科研院所,高校科研关键词:研究院,3,2,0,,,
弗罗茨瓦夫理工大学,高校/科研院所,高校强特征:大学,10,2,0,,,
弗罗茨瓦夫科技大学,高校/科研院所,高校强特征:大学,7,2,0,,,
弗莱贝格工业大学,高校/科研院所,高校强特征:大学,1,1,0,,,
弗赖堡大学,高校/科研院所,高校强特征:大学,8,3,0,,,
弗赖贝格工业大学,高校/科研院所,高校强特征:大学,39,3,0,,,
弗里堡大学,高校/科研院所,高校强特征:大学,12,3,0,,,
弗鲁米嫩塞联邦大学,高校/科研院所,高校强特征:大学,34,3,0,,,
弘前大学,高校/科研院所,高校强特征:大学,29,3,0,,,
弘益大学,高校/科研院所,高校强特征:大学,5,2,0,,,
强化传热与过程节能教育部重点实验室,高校/科研院所,高校科研关键词:实验室,1,1,0,,,
彼尔姆国家研究型理工大学,高校/科研院所,高校强特征:大学,18,2,0,,,
彼得鲁·波尼高分子化学研究所,高校/科研院所,高校科研关键词:研究所,7,1,0,,,
徐州医科大学,高校/科研院所,高校强特征:大学,5,1,0,,,
徐州工程学院,高校/科研院所,高校强特征:学院,16,2,0,,,
得克萨斯农业与机械大学,高校/科研院所,高校强特征:大学,1,1,0,,,
得克萨斯农工大学,高校/科研院所,高校强特征:大学,532,3,1,56,0.185566,特色细分型
得克萨斯农工能源研究所,高校/科研院所,高校科研关键词:研究所,1,1,0,,,
得克萨斯大学奥斯汀分校,高校/科研院所,高校强特征:大学,949,3,1,54,0.188364,特色细分型
得克萨斯大学达拉斯分校,高校/科研院所,高校强特征:大学,9,3,0,,,
得克萨斯大学阿灵顿分校,高校/科研院所,高校强特征:大学,103,3,0,,,
得克萨斯理工大学,高校/科研院所,高校强特征:大学,119,3,0,,,
微细加工光学技术国家重点实验室,高校/科研院所,高校科研关键词:实验室,1,1,0,,,
德克萨斯农业与机械大学,高校/科研院所,高校强特征:大学,2,1,0,,,
德克萨斯农工大学,高校/科研院所,高校强特征:大学,1,1,0,,,
德克萨斯农机大学,高校/科研院所,高校强特征:大学,1,1,0,,,
德克萨斯大学奥斯汀分校经济地质局,高校/科研院所,高校强特征:大学,1,1,0,,,
德克萨斯大学艾尔帕索分校,高校/科研院所,高校强特征:大学,10,3,0,,,
德国地学研究中心波茨坦,高校/科研院所,高校科研关键词:研究中心,7,2,0,,,
德国地球科学研究中心,高校/科研院所,高校科研关键词:研究中心,73,3,0,,,
德国航空航天中心,其他,未命中规则,15,3,0,,,
德州大陆架石油工程技术有限公司,企业研发中心,企业关键词:公司,3,1,0,,,
德州学院,高校/科研院所,高校强特征:学院,12,2,0,,,
德州职业技术学院,高校/科研院所,高校强特征:学院,1,1,0,,,
德拉萨大学,高校/科研院所,高校强特征:大学,10,3,0,,,
德班理工大学,高校/科研院所,高校强特征:大学,3,2,0,,,
德瓦能源有限公司,企业研发中心,企业关键词:公司,68,2,0,,,
德累斯顿工业大学,高校/科研院所,高校强特征:大学,23,3,0,,,
德谟克利特国家科学研究中心,高校/科研院所,高校科研关键词:研究中心,17,3,0,,,
德里大学,高校/科研院所,高校强特征:大学,12,3,0,,,
德里理工大学,高校/科研院所,高校强特征:大学,2,1,0,,,
德阳广汉高新技术产业园区管理委员会,其他,未命中规则,1,1,0,,,
德雷塞尔大学,高校/科研院所,高校强特征:大学,7,3,0,,,
德黑兰医科大学,高校/科研院所,高校强特征:大学,5,2,0,,,
德黑兰大学,高校/科研院所,高校强特征:大学,346,3,1,71,0.164004,特色细分型
忠北国立大学,高校/科研院所,高校强特征:大学,33,3,0,,,
忠南国立大学,高校/科研院所,高校强特征:大学,47,3,0,,,
怀俄明大学,高校/科研院所,高校强特征:大学,218,3,0,,,
思特雅大学,高校/科研院所,高校强特征:大学,19,2,0,,,
恒泰艾普石油天然气技术有限公司,企业研发中心,企业关键词:公司,1,1,0,,,
恒泰艾普石油天然气技术服务股份有限公司,企业研发中心,企业关键词:公司,11,1,0,,,
恰纳卡莱十八马特大学,高校/科研院所,高校强特征:大学,5,3,0,,,
悉尼大学,高校/科研院所,高校强特征:大学,66,3,0,,,
悉尼科技大学,高校/科研院所,高校强特征:大学,43,3,0,,,
惠州大亚湾华瀛石油化工有限公司,企业研发中心,企业关键词:公司,1,1,0,,,
意大利国家地球物理与火山学研究所,高校/科研院所,高校科研关键词:研究所,22,3,0,,,
意大利国家海洋学与实验地球物理研究所,高校/科研院所,高校科研关键词:研究所,20,3,0,,,
意大利国家研究委员会,其他,未命中规则,137,3,0,,,
意大利技术研究院,高校/科研院所,高校科研关键词:研究院,8,3,0,,,
慕尼黑工业大学,高校/科研院所,高校强特征:大学,73,3,0,,,
戈亚斯联邦大学,高校/科研院所,高校强特征:大学,17,3,0,,,
成功大学,高校/科研院所,高校强特征:大学,57,3,0,,,
成均馆大学,高校/科研院所,高校强特征:大学,116,3,0,,,
成蹊大学,高校/科研院所,高校强特征:大学,10,3,0,,,
成都东软信息技术职业学院,高校/科研院所,高校强特征:学院,1,1,0,,,
成都中油工程设计西南分公司,企业研发中心,企业关键词:公司,1,1,0,,,
成都信息工程大学,高校/科研院所,高校强特征:大学,24,3,0,,,
成都信息工程学院,高校/科研院所,高校强特征:学院,2,1,0,,,
成都北方石油勘探开发技术有限公司,企业研发中心,企业关键词:公司,3,2,0,,,
成都医学院,高校/科研院所,高校强特征:学院,1,1,0,,,
成都地质矿产研究所,高校/科研院所,高校科研关键词:研究所,17,1,0,,,
成都地质调查中心,其他,未命中规则,3,1,0,,,
成都大学,高校/科研院所,高校强特征:大学,34,1,0,,,
成都市老科学技术工作者协会,其他,未命中规则,1,1,0,,,
成都师范学院,高校/科研院所,高校强特征:学院,1,1,0,,,
成都水文地质工程地质中心,其他,未命中规则,1,1,0,,,
成都理工大学,高校/科研院所,高校强特征:大学,1963,3,1,82,0.157035,特色细分型
成都理工大学博士后流动站,高校/科研院所,高校强特征:大学,2,1,0,,,
成都理工大学博物馆,高校/科研院所,高校强特征:大学,2,1,0,,,
成都理工大学地球科,高校/科研院所,高校强特征:大学,49,1,0,,,
成都理工大学油气藏地质及开发工程国家重点实验,高校/科研院所,高校强特征:大学,1,1,0,,,
成都理工大学油气藏地质及开发工程国家重点试验室,高校/科研院所,高校强特征:大学,1,1,0,,,
成都理工大学研究生院,高校/科研院所,高校强特征:大学,2,1,0,,,
成都理工大学管理科,高校/科研院所,高校强特征:大学,5,1,0,,,
成都科学工程大学,高校/科研院所,高校强特征:大学,1,1,0,,,
扎加齐格大学,高校/科研院所,高校强特征:大学,27,3,0,,,
托普索公司,企业研发中心,企业关键词:公司,16,3,0,,,
托木斯克国立大学,高校/科研院所,高校强特征:大学,18,3,0,,,
托木斯克理工大学,高校/科研院所,高校强特征:大学,78,3,0,,,
托莱多大学,高校/科研院所,高校强特征:大学,8,3,0,,,
扬子石化公司研究院,企业研发中心,企业关键词:公司,2,1,0,,,
扬州大学,高校/科研院所,高校强特征:大学,89,3,0,,,
扬州工业职业技术学院,高校/科研院所,高校强特征:学院,1,1,0,,,
扬州润达油田化学剂有限公司,企业研发中心,企业关键词:公司,1,1,0,,,
扬州石化有限责任公司,企业研发中心,企业关键词:公司,5,1,0,,,
抚顺新钢铁有限责任公司,企业研发中心,企业关键词:公司,1,1,0,,,
抚顺石化催化剂厂,企业研发中心,企业关键词:石化,1,1,0,,,
抚顺石化公司石油三厂,企业研发中心,企业关键词:公司,1,1,0,,,
抚顺石化公司石油二厂,企业研发中心,企业关键词:公司,2,1,0,,,
抚顺石化设备检测监理研究中心,企业研发中心,企业关键词:石化,1,1,0,,,
抚顺石油化工研究院,高校/科研院所,高校科研关键词:研究院,21,1,0,,,
抚顺矿业集团工程技术研究中心,企业研发中心,企业关键词:集团,1,1,0,,,
抚顺远东页岩炼化有限公司,企业研发中心,企业关键词:公司,1,1,0,,,
拉卡邦先皇理工学院,高校/科研院所,高校强特征:学院,12,3,0,,,
拉合尔大学,高校/科研院所,高校强特征:大学,16,3,0,,,
拉吉夫·甘地石油技术学院,高校/科研院所,高校强特征:学院,41,3,0,,,
拉夫堡大学,高校/科研院所,高校强特征:大学,31,3,0,,,
拉奎拉大学,高校/科研院所,高校强特征:大学,8,3,0,,,
拉彭兰塔-拉赫蒂理工大学,高校/科研院所,高校强特征:大学,6,2,0,,,
拉彭兰塔理工大学,高校/科研院所,高校强特征:大学,21,2,0,,,
拉普拉塔国立大学,高校/科研院所,高校强特征:大学,21,3,0,,,
拉曼大学,高校/科研院所,高校强特征:大学,7,3,0,,,
拉瓦尔大学,高校/科研院所,高校强特征:大学,37,3,0,,,
拉科鲁尼亚大学,高校/科研院所,高校强特征:大学,8,3,0,,,
拉马尔大学,高校/科研院所,高校强特征:大学,15,3,0,,,
拉齐大学,高校/科研院所,高校强特征:大学,16,3,0,,,
拜罗伊特大学,高校/科研院所,高校强特征:大学,11,3,0,,,
挪威国家石油公司,企业研发中心,企业关键词:公司,175,3,0,,,
挪威工业技术研究院,高校/科研院所,高校科研关键词:研究院,65,3,0,,,
挪威生命科学大学,高校/科研院所,高校强特征:大学,7,2,0,,,
挪威科技大学,高校/科研院所,高校强特征:大学,248,3,1,33,0.214291,中坚创新型
振华石油成都北方石油勘探开发技术有限公司,企业研发中心,企业关键词:公司,1,1,0,,,
振华石油控股有限公司,企业研发中心,企业关键词:公司,11,2,0,,,
捷克科学院,高校/科研院所,高校强特征:学院,21,2,0,,,
提克里特大学,高校/科研院所,高校强特征:大学,11,3,0,,,
提塞德大学,高校/科研院所,高校强特征:大学,6,2,0,,,
提斯浦尔大学,高校/科研院所,高校强特征:大学,14,3,0,,,
提高油气采收率教育部重点实验室,高校/科研院所,高校科研关键词:实验室,36,1,0,,,
提高石油采收率国家重点实验室,高校/科研院所,高校科研关键词:实验室,73,1,0,,,
提高采收率国家重点实验室,高校/科研院所,高校科研关键词:实验室,32,3,0,,,
提高采收率教育部重点实验室,高校/科研院所,高校科研关键词:实验室,5,1,0,,,
提高采收率研究中心,高校/科研院所,高校科研关键词:研究中心,1,1,0,,,
揭阳中心,其他,未命中规则,8,1,0,,,
摩德纳与雷焦艾米利亚大学,高校/科研院所,高校强特征:大学,12,2,0,,,
摩苏尔大学,高校/科研院所,高校强特征:大学,9,3,0,,,
攀枝花学院,高校/科研院所,高校强特征:学院,12,3,0,,,
教育部含油气盆地构造研究中心,高校/科研院所,高校科研关键词:研究中心,3,1,0,,,
教育部地球探测与信息技术重点实验室,高校/科研院所,高校科研关键词:实验室,1,1,0,,,
教育部提高油气采收率重点实验室,高校/科研院所,高校科研关键词:实验室,2,1,0,,,
教育部有色金属成矿预测重点实验室,高校/科研院所,高校科研关键词:实验室,1,1,0,,,
教育部油气藏勘探国家重点实验室,高校/科研院所,高校科研关键词:实验室,1,1,0,,,
教育部油气资源与勘探技术重点实验室,高校/科研院所,高校科研关键词:实验室,8,1,0,,,
教育部油田开发重点实验室,企业研发中心,企业关键词:油田,2,1,0,,,
教育部海相储层演化与油气富集机理重点实验室,高校/科研院所,高校科研关键词:实验室,1,1,0,,,
教育部轻化工助剂化学与技术重点实验室,高校/科研院所,高校科研关键词:实验室,3,1,0,,,
数学地质四川省重点实验室,高校/科研院所,高校科研关键词:实验室,2,1,0,,,
文郎大学,高校/科研院所,高校强特征:大学,16,1,0,,,
斯伦贝谢(中国)公司,企业研发中心,企业关键词:公司,1,1,0,,,
斯伦贝谢中国公司,企业研发中心,企业关键词:公司,6,1,0,,,
斯伦贝谢中国公司电缆测井服务部,企业研发中心,企业关键词:公司,1,1,0,,,
斯伦贝谢中国海洋服务公司,企业研发中心,企业关键词:公司,4,1,0,,,
斯伦贝谢中国海洋服务公司随钻测井部,企业研发中心,企业关键词:公司,1,1,0,,,
斯伦贝谢公司,企业研发中心,企业关键词:公司,1,1,0,,,
斯伦贝谢公司北京总部,企业研发中心,企业关键词:公司,1,1,0,,,
斯伦贝谢创新中心,其他,未命中规则,1,1,0,,,
斯伦贝谢多尔研究中心,高校/科研院所,高校科研关键词:研究中心,87,3,0,,,
斯勒阿克国家阿克克埃勒埃尔阿特奥尔实验室,高校/科研院所,高校科研关键词:实验室,12,2,0,,,
斯图加特大学,高校/科研院所,高校强特征:大学,53,3,0,,,
斯坦福大学,高校/科研院所,高校强特征:大学,255,3,0,,,
斯塔万格大学,高校/科研院所,高校强特征:大学,243,3,0,,,
斯威本科技大学,高校/科研院所,高校强特征:大学,27,3,0,,,
斯旺西大学,高校/科研院所,高校强特征:大学,12,3,0,,,
斯法克斯大学,高校/科研院所,高校强特征:大学,6,3,0,,,
斯泰伦博斯大学,高校/科研院所,高校强特征:大学,22,3,0,,,
斯特拉斯克莱德大学,高校/科研院所,高校强特征:大学,32,3,0,,,
斯特拉斯堡大学,高校/科研院所,高校强特征:大学,38,3,0,,,
斯科尔科沃科学技术学院,高校/科研院所,高校强特征:学院,38,2,0,,,
斯里希瓦苏布拉马尼亚纳达尔工程学院,高校/科研院所,高校强特征:学院,11,1,0,,,
新不伦瑞克大学,高校/科研院所,高校强特征:大学,42,3,0,,,
新乡职业技术学院,高校/科研院所,高校强特征:学院,1,1,0,,,
新兴重工有限公司,企业研发中心,企业关键词:公司,3,1,0,,,
新加坡国立大学,高校/科研院所,高校强特征:大学,362,3,1,11,0.270644,头部引领型
新加坡科技设计大学,高校/科研院所,高校强特征:大学,5,2,0,,,
新南威尔士大学,高校/科研院所,高校强特征:大学,208,3,1,30,0.221655,中坚创新型
新墨西哥大学,高校/科研院所,高校强特征:大学,13,3,0,,,
新墨西哥州立大学,高校/科研院所,高校强特征:大学,8,3,0,,,
新墨西哥理工大学,高校/科研院所,高校强特征:大学,1,1,0,,,
新墨西哥矿业与技术学院,高校/科研院所,高校强特征:学院,43,3,0,,,
新墨西哥矿业理工大学,高校/科研院所,高校强特征:大学,2,1,0,,,
新戈里察大学,高校/科研院所,高校强特征:大学,4,2,0,,,
新泽西理工学院,高校/科研院所,高校强特征:学院,26,3,0,,,
新疆乌鲁木齐市北京北路397号中国石油新疆油田分公司,企业研发中心,企业关键词:公司,1,1,0,,,
新疆伊犁师范学院,高校/科研院所,高校强特征:学院,1,1,0,,,
新疆克拉玛依创业有限公司,企业研发中心,企业关键词:公司,3,1,0,,,
新疆克拉玛依勘探开发研究院,高校/科研院所,高校科研关键词:研究院,1,1,0,,,
新疆克拉玛依友联实业有限责任公司,企业研发中心,企业关键词:公司,2,1,0,,,
新疆克拉玛依工程技术研究院,高校/科研院所,高校科研关键词:研究院,1,1,0,,,
新疆克拉玛依市三盛有限责任公司,企业研发中心,企业关键词:公司,1,1,0,,,
新疆克拉玛依市三达有限责任公司,企业研发中心,企业关键词:公司,1,1,0,,,
新疆克拉玛依技师培训学院,高校/科研院所,高校强特征:学院,1,1,0,,,
新疆克拉玛依红山油田有限责任公司第一采油作业区,企业研发中心,企业关键词:公司,1,1,0,,,
新疆克拉玛依职业技术学院,高校/科研院所,高校强特征:学院,1,1,0,,,
新疆克拉玛依试油公司,企业研发中心,企业关键词:公司,1,1,0,,,
新疆克拉玛依重油公司技术监督站,企业研发中心,企业关键词:公司,1,1,0,,,
新疆准东石油技术股份有限公司,企业研发中心,企业关键词:公司,12,1,0,,,
新疆准东石油技术股份有限公司油田研究所,企业研发中心,企业关键词:公司,1,1,0,,,
新疆准东石油技术股份有限公司研究所,企业研发中心,企业关键词:公司,1,1,0,,,
新疆勘探开发中心,其他,未命中规则,1,1,0,,,
新疆华隆油田科,企业研发中心,企业关键词:油田,2,1,0,,,
新疆博瑞能源有限公司,企业研发中心,企业关键词:公司,2,1,0,,,
新疆吐哈油田吐哈油田建设有限公司,企业研发中心,企业关键词:公司,1,1,0,,,
新疆吐哈油田鄯善采油厂,企业研发中心,企业关键词:油田,1,1,0,,,
新疆哈密吐哈油田公司勘探开发研究院,企业研发中心,企业关键词:公司,1,1,0,,,
新疆哈密石油基地吐哈油田勘探开发研究院,企业研发中心,企业关键词:油田,1,1,0,,,
新疆哈密石油基地吐哈油田吐鲁番采油厂,企业研发中心,企业关键词:油田,1,1,0,,,
新疆塔林投资有限责任公司,企业研发中心,企业关键词:公司,3,1,0,,,
新疆塔里木油田公司开发事业部,企业研发中心,企业关键词:公司,1,1,0,,,
新疆塔里木油田塔西南电力工程部,企业研发中心,企业关键词:油田,1,1,0,,,
新疆大学,高校/科研院所,高校强特征:大学,165,3,0,,,
新疆大学生命科,高校/科研院所,高校强特征:大学,2,1,0,,,
新疆寰球工程公司,企业研发中心,企业关键词:公司,2,1,0,,,
新疆工程学院,高校/科研院所,高校强特征:学院,2,1,0,,,
新疆库尔勒市塔里木油田公司,企业研发中心,企业关键词:公司,1,1,0,,,
新疆恒泰艾普能源服务有限公司,企业研发中心,企业关键词:公司,1,1,0,,,
新疆林业科学研究院,高校/科研院所,高校科研关键词:研究院,1,1,0,,,
新疆油田井下作业公司,企业研发中心,企业关键词:公司,2,1,0,,,
新疆油田井下作业公司钻井分公司,企业研发中心,企业关键词:公司,2,1,0,,,
新疆油田公司,企业研发中心,企业关键词:公司,2,1,0,,,
新疆油田公司井下作业公司,企业研发中心,企业关键词:公司,1,1,0,,,
新疆油田公司准东采油厂,企业研发中心,企业关键词:公司,3,1,0,,,
新疆油田公司勘探公司,企业研发中心,企业关键词:公司,2,1,0,,,
新疆油田公司勘探开发研究院,企业研发中心,企业关键词:公司,26,1,0,,,
新疆油田公司实验检测研究院,企业研发中心,企业关键词:公司,10,1,0,,,
新疆油田公司工程技术公司三分公司,企业研发中心,企业关键词:公司,1,1,0,,,
新疆油田公司工程技术公司二分公司,企业研发中心,企业关键词:公司,1,1,0,,,
新疆油田公司工程技术公司五分公司,企业研发中心,企业关键词:公司,1,1,0,,,
新疆油田公司工程技术研究院,企业研发中心,企业关键词:公司,10,1,0,,,
新疆油田公司开发公司,企业研发中心,企业关键词:公司,9,1,0,,,
新疆油田公司彩南油田作业区,企业研发中心,企业关键词:公司,1,1,0,,,
新疆油田公司接待服务总公司安全保卫科,企业研发中心,企业关键词:公司,1,1,0,,,
新疆油田公司油气储运公司,企业研发中心,企业关键词:公司,1,1,0,,,
新疆油田公司油气储运分公司,企业研发中心,企业关键词:公司,1,1,0,,,
新疆油田公司燃气公司,企业研发中心,企业关键词:公司,1,1,0,,,
新疆油田公司百口泉采油厂,企业研发中心,企业关键词:公司,9,1,0,,,
新疆油田公司监理公司,企业研发中心,企业关键词:公司,1,1,0,,,
新疆油田公司石西油田作业区,企业研发中心,企业关键词:公司,3,1,0,,,
新疆油田公司科,企业研发中心,企业关键词:公司,1,1,0,,,
新疆油田公司第一采油厂,企业研发中心,企业关键词:公司,1,1,0,,,
新疆油田公司试油公司,企业研发中心,企业关键词:公司,1,1,0,,,
新疆油田公司采气一厂,企业研发中心,企业关键词:公司,3,1,0,,,
新疆油田公司采油一厂,企业研发中心,企业关键词:公司,6,1,0,,,
新疆油田公司采油二厂,企业研发中心,企业关键词:公司,13,1,0,,,
新疆油田公司采油五厂,企业研发中心,企业关键词:公司,1,1,0,,,
新疆油田公司采油厂,企业研发中心,企业关键词:公司,1,1,0,,,
新疆油田公司采油工艺研究院,企业研发中心,企业关键词:公司,4,1,0,,,
新疆油田公司重油开发公司,企业研发中心,企业关键词:公司,5,1,0,,,
新疆油田公司重油开发公司采油作业六区,企业研发中心,企业关键词:公司,1,1,0,,,
新疆油田公司重油开发公司集输联合站,企业研发中心,企业关键词:公司,1,1,0,,,
新疆油田公司陆梁油田作业区,企业研发中心,企业关键词:公司,2,1,0,,,
新疆油田公司陆梁油田作业区油田研究所,企业研发中心,企业关键词:公司,1,1,0,,,
新疆油田公司风城油田作业区,企业研发中心,企业关键词:公司,5,1,0,,,
新疆油田准东采油厂,企业研发中心,企业关键词:油田,2,1,0,,,
新疆油田分公司,企业研发中心,企业关键词:公司,27,1,0,,,
新疆油田勘探开发研究院,企业研发中心,企业关键词:油田,7,1,0,,,
新疆油田实验检测研究院,企业研发中心,企业关键词:油田,1,1,0,,,
新疆油田工程技术公司,企业研发中心,企业关键词:公司,1,1,0,,,
新疆油田工程技术研究院,企业研发中心,企业关键词:油田,2,1,0,,,
新疆油田开发公司,企业研发中心,企业关键词:公司,1,1,0,,,
新疆油田新港作业分公司,企业研发中心,企业关键词:公司,1,1,0,,,
新疆油田有限责任公司勘探开发研究院,企业研发中心,企业关键词:公司,1,1,0,,,
新疆油田采气一厂,企业研发中心,企业关键词:油田,1,1,0,,,
新疆油田采油一厂,企业研发中心,企业关键词:油田,2,1,0,,,
新疆油田采油工艺研究院,企业研发中心,企业关键词:油田,3,1,0,,,
新疆油田重油开发公司,企业研发中心,企业关键词:公司,2,1,0,,,
新疆油田陆梁油田作业区,企业研发中心,企业关键词:油田,2,1,0,,,
新疆泽普县塔西南勘探开发公司柯克亚作业区,企业研发中心,企业关键词:公司,1,1,0,,,
新疆特种设备检验研究院,高校/科研院所,高校科研关键词:研究院,1,1,0,,,
新疆独山子天利实业总公司,企业研发中心,企业关键词:公司,1,1,0,,,
新疆独山子天利高新技术股份有限公司,企业研发中心,企业关键词:公司,1,1,0,,,
新疆石油勘察设计研究院,高校/科研院所,高校科研关键词:研究院,4,1,0,,,
新疆石油学院,高校/科研院所,高校强特征:学院,2,1,0,,,
新疆石油工程建设监理有限公司,企业研发中心,企业关键词:公司,1,1,0,,,
新疆维吾尔自治区克拉玛依市三达有限责任公司,企业研发中心,企业关键词:公司,1,1,0,,,
新疆维吾尔自治区克拉玛依市新疆油田公司采油二厂,企业研发中心,企业关键词:公司,1,1,0,,,
新疆维吾尔自治区克拉玛依市新疆油田公司风城作业区,企业研发中心,企业关键词:公司,1,1,0,,,
新疆维吾尔自治区库尔勒市塔里木油田公司勘探开发部,企业研发中心,企业关键词:公司,1,1,0,,,
新疆西部钻探克拉玛依钻井公司,企业研发中心,企业关键词:公司,1,1,0,,,
新疆贝肯能源工程股份有限公司,企业研发中心,企业关键词:公司,14,1,0,,,
新疆金戈壁油砂矿开发有限责任公司,企业研发中心,企业关键词:公司,1,1,0,,,
新疆阜康准东准油股份公司研究所,企业研发中心,企业关键词:公司,1,1,0,,,
新疆龟兹矿业有限公司,企业研发中心,企业关键词:公司,1,1,0,,,
新罕布什尔大学,高校/科研院所,高校强特征:大学,15,3,0,,,
新莱昂自治大学,高校/科研院所,高校强特征:大学,18,3,0,,,
新西伯利亚国立大学,高校/科研院所,高校强特征:大学,82,3,0,,,
新西兰地质与核科学研究所,高校/科研院所,高校科研关键词:研究所,44,3,0,,,
新里斯本大学,高校/科研院所,高校强特征:大学,21,3,0,,,
方兴油田,企业研发中心,企业关键词:油田,1,1,0,,,
旁遮普大学,高校/科研院所,高校强特征:大学,27,3,0,,,
无锡中关村软件园发展有限公司,企业研发中心,企业关键词:公司,1,1,0,,,
无锡石油地质研究所,高校/科研院所,高校科研关键词:研究所,26,3,0,,,
无锡蓝星石油化工有限责任公司,企业研发中心,企业关键词:公司,1,1,0,,,
日内瓦大学,高校/科研院所,高校强特征:大学,40,3,0,,,
日本产业技术综合研究所,高校/科研院所,高校科研关键词:研究所,164,3,0,,,
日本国立材料科学研究所,高校/科研院所,高校科研关键词:研究所,20,3,0,,,
日本国立材料科学研究所大学,高校/科研院所,高校强特征:大学,1,1,0,,,
日本大学,高校/科研院所,高校强特征:大学,3,1,0,,,
日本理化学研究所,高校/科研院所,高校科研关键词:研究所,3,2,0,,,
早稻田大学,高校/科研院所,高校强特征:大学,22,3,0,,,
昆士兰大学,高校/科研院所,高校强特征:大学,238,3,1,14,0.247132,头部引领型
昆士兰科技大学,高校/科研院所,高校强特征:大学,45,3,0,,,
昆山科技大学,高校/科研院所,高校强特征:大学,2,1,0,,,
昆明理工大学,高校/科研院所,高校强特征:大学,207,3,1,86,0.13988,特色细分型
昆明理工大学西南地质调查所,高校/科研院所,高校强特征:大学,1,1,0,,,
昌原大学校,高校/科研院所,高校强特征:大学,10,2,0,,,
昌吉学院,高校/科研院所,高校强特征:学院,4,1,0,,,
昌迪加尔大学,高校/科研院所,高校强特征:大学,10,1,0,,,
明尼苏达大学,高校/科研院所,高校强特征:大学,80,3,0,,,
