阶段,阶段内排序,词项,总词频,文献频次,词云权重,进入词频统计文献数
2021-2025,20,储存,6854,2997,0.213987,31222
2021-2025,21,颗粒,6730,2965,0.210116,31222
2021-2025,22,密度,6084,4132,0.189947,31222
2021-2025,23,热采,5979,3286,0.186669,31222
2021-2025,24,化学,5795,4043,0.180924,31222
2021-2025,25,岩心,5732,2994,0.178957,31222
2021-2025,26,模拟,5699,3805,0.177927,31222
2021-2025,27,活性,5634,3679,0.175898,31222
2021-2025,28,金属,5496,3143,0.171589,31222
2021-2025,29,水力压裂,5374,1715,0.16778,31222
2021-2025,30,催化,5324,2985,0.166219,31222
2021-2025,31,钻井,5324,1962,0.166219,31222
2021-2025,32,沉积,5150,2725,0.160787,31222
2021-2025,33,产品,5126,3164,0.160037,31222
2021-2025,34,转化,5104,3259,0.159351,31222
2021-2025,35,碳酸盐岩,4984,2212,0.155604,31222
2021-2025,36,孔隙度,4978,2490,0.155417,31222
2021-2025,37,地震,4948,1855,0.15448,31222
2021-2025,38,液相,4926,2691,0.153793,31222
2021-2025,39,应力,4848,1826,0.151358,31222
2021-2025,40,断层,4840,1219,0.151108,31222
2021-2025,41,行为,4635,3275,0.144708,31222
2021-2025,42,驱替,4592,1873,0.143366,31222
2021-2025,43,演化,4585,2951,0.143147,31222
2021-2025,44,收率,4541,2883,0.141773,31222
2021-2025,45,材料,4538,2957,0.14168,31222
2021-2025,46,矿物,4411,1979,0.137715,31222
2021-2025,47,区带,4402,2162,0.137434,31222
2021-2025,48,离子,4342,2403,0.13556,31222
2021-2025,49,氧化,4267,2127,0.133219,31222
2021-2025,50,燃烧,4258,1443,0.132938,31222
2021-2025,51,位点,4243,2706,0.13247,31222
2021-2025,52,网络,4192,2514,0.130877,31222
2021-2025,53,电子,4125,3001,0.128786,31222
2021-2025,54,生成,4115,2705,0.128473,31222
2021-2025,55,热解,4091,1510,0.127724,31222
2021-2025,56,砂岩,3998,1586,0.12482,31222
2021-2025,57,设计,3949,3149,0.123291,31222
2021-2025,58,组成,3928,2802,0.122635,31222
