机构标准名,总频次,CNKI频次,WOS频次,CSCD频次
哈立德国王大学,137,0,137,0
得克萨斯大学阿灵顿分校,137,0,131,6
阿布扎比石油学院,136,0,136,0
韩国科学技术大学,136,0,136,0
马来西亚彭亨大学,136,0,136,0
奥卢大学,135,0,135,0
工程技术大学,135,0,135,0
汉堡工业大学,135,0,135,0
江原国立大学,135,0,135,0
安徽农业大学,135,17,118,0
伊斯法罕大学,134,0,134,0
佛山大学,134,0,134,0
拉彭兰塔理工大学,134,0,134,0
格拉斯哥大学,134,0,134,0
马来西亚国民大学,134,0,134,0
麦考瑞大学,134,0,134,0
中国药科大学,134,1,133,0
曲阜师范大学,134,3,129,2
南通大学,134,4,124,6
重庆理工大学,134,11,118,5
南卡罗来纳大学,133,0,133,0
约翰内斯堡大学,133,0,133,0
太原科技大学,133,3,130,0
加州大学圣巴巴拉分校,132,0,132,0
圣卡洛斯联邦大学,132,0,132,0
爱达荷国家实验室,132,0,132,0
北京工商大学,132,1,128,3
北京建筑大学,131,5,124,2
利哈伊大学,130,0,130,0
宁波诺丁汉大学,130,0,130,0
巴黎文理研究大学,130,0,130,0
湖南农业大学,130,9,121,0
河南科技大学,130,7,118,5
中国石油长庆油田分公司勘探开发研究院,130,130,0,0
华盛顿大学（美国）,129,0,129,0
奥维耶多大学,129,0,129,0
法国国家农业研究院,129,0,129,0
米尼奥大学,129,0,129,0
中国石油工程建设公司华东设计分公司,129,129,0,0
中国石油塔里木油田分公司勘探开发研究院,129,126,0,3
亚洲大学（韩国）,128,0,128,0
保罗谢勒研究所,128,0,128,0
罗斯托克大学,128,0,128,0
蔚山大学,128,0,128,0
贾达普大学,128,0,128,0
五邑大学,128,1,127,0
长春理工大学,128,2,125,1
沈阳工业大学,128,18,104,6
里昂第一大学,127,0,127,0
湖南师范大学,127,3,120,4
延安大学,127,30,94,3
第一采油厂,127,20,2,105
印度化学技术研究所,126,0,126,0
格里菲斯大学,126,0,126,0
马克斯·普朗克学会,126,0,126,0
斯泰伦博斯大学,125,0,125,0
杜伊斯堡-埃森大学,125,0,125,0
阿联酋大学,125,0,125,0
克尔曼沙希德巴霍纳尔大学,125,0,124,1
加拿大地质调查局,125,1,122,2
